"index,""ID"",""x"",""auc"",""fid"",""DIM"""
"1,""SEP_BA_fix"",50010,0.96410232644323,1,5"
"2,""SEP_BOA_fix"",50010,0.416368673170966,1,5"
"3,""SEP_CSA"",50010,0.948218528843251,1,5"
"4,""SEP_GOA"",50010,0.21496539179559,1,5"
"5,""SEP_MBO"",50010,0.947305009586318,1,5"
"6,""SEP_MFO"",50010,0.592811297523504,1,5"
"7,""SEP_PSO_fix"",50010,0.923053640252342,1,5"
"8,""UNIOA_BA"",50010,0.962807177716447,1,5"
"9,""UNIOA_BOA"",50010,0.465888813934307,1,5"
"10,""UNIOA_CSA"",50010,0.912745623424335,1,5"
"11,""UNIOA_GOA"",50010,0.195536051267255,1,5"
"12,""UNIOA_MBO"",50010,0.944496951590074,1,5"
"13,""UNIOA_MFO"",50010,0.880355370635982,1,5"
"14,""UNIOA_PSO"",50010,0.979519252358679,1,5"
"15,""SEP_BA_fix"",200010,0.0584208933864061,1,20"
"16,""SEP_BOA_fix"",200010,0.0730280332388609,1,20"
"17,""SEP_CSA"",200010,0.894349427626658,1,20"
"18,""SEP_GOA"",200010,0.0978098176493433,1,20"
"19,""SEP_MBO"",200010,0.925962548931377,1,20"
"20,""SEP_MFO"",200010,0.281014395745022,1,20"
"21,""SEP_PSO_fix"",200010,0.164521221540994,1,20"
"22,""UNIOA_BA"",200010,0.0583658759600146,1,20"
"23,""UNIOA_BOA"",200010,0.0548510286858188,1,20"
"24,""UNIOA_CSA"",200010,0.823641610076359,1,20"
"25,""UNIOA_GOA"",200010,0.109482786644981,1,20"
"26,""UNIOA_MBO"",200010,0.924368659998373,1,20"
"27,""UNIOA_MFO"",200010,0.635645291565282,1,20"
"28,""UNIOA_PSO"",200010,0.129173039112453,1,20"
"29,""SEP_BA_fix"",50010,0,2,5"
"30,""SEP_BOA_fix"",50010,0.0109614596688505,2,5"
"31,""SEP_CSA"",50010,0.364627053042632,2,5"
"32,""SEP_GOA"",50010,0,2,5"
"33,""SEP_MBO"",50010,0.752242794578339,2,5"
"34,""SEP_MFO"",50010,0.274207275356414,2,5"
"35,""SEP_PSO_fix"",50010,0.815114443360221,2,5"
"36,""UNIOA_BA"",50010,0.0757815103645937,2,5"
"37,""UNIOA_BOA"",50010,0.0133637978286696,2,5"
"38,""UNIOA_CSA"",50010,0.602715013184001,2,5"
"39,""UNIOA_GOA"",50010,0,2,5"
"40,""UNIOA_MBO"",50010,0.757864646678508,2,5"
"41,""UNIOA_MFO"",50010,0.745422732431278,2,5"
"42,""UNIOA_PSO"",50010,0.911753216031366,2,5"
"43,""SEP_BA_fix"",200010,0,2,20"
"44,""SEP_BOA_fix"",200010,0,2,20"
"45,""SEP_CSA"",200010,0,2,20"
"46,""SEP_GOA"",200010,0,2,20"
"47,""SEP_MBO"",200010,0.448859963517553,2,20"
"48,""SEP_MFO"",200010,0,2,20"
"49,""SEP_PSO_fix"",200010,0,2,20"
"50,""UNIOA_BA"",200010,0,2,20"
"51,""UNIOA_BOA"",200010,0,2,20"
"52,""UNIOA_CSA"",200010,0,2,20"
"53,""UNIOA_GOA"",200010,0,2,20"
"54,""UNIOA_MBO"",200010,0.36850953254547,2,20"
"55,""UNIOA_MFO"",200010,0.045975250257095,2,20"
"56,""UNIOA_PSO"",200010,0,2,20"
"57,""SEP_BA_fix"",50010,0.116867664419552,3,5"
"58,""SEP_BOA_fix"",50010,0.0990067956685663,3,5"
"59,""SEP_CSA"",50010,0.169069327664122,3,5"
"60,""SEP_GOA"",50010,0.0586417745862592,3,5"
"61,""SEP_MBO"",50010,0.787321492450586,3,5"
"62,""SEP_MFO"",50010,0.123734380901597,3,5"
"63,""SEP_PSO_fix"",50010,0.15171446827915,3,5"
"64,""UNIOA_BA"",50010,0.136288644465318,3,5"
"65,""UNIOA_BOA"",50010,0.144152913624702,3,5"
"66,""UNIOA_CSA"",50010,0.200523426578301,3,5"
"67,""UNIOA_GOA"",50010,0.0680042893382108,3,5"
"68,""UNIOA_MBO"",50010,0.810370028877731,3,5"
"69,""UNIOA_MFO"",50010,0.203610242068151,3,5"
"70,""UNIOA_PSO"",50010,0.154699434741691,3,5"
"71,""SEP_BA_fix"",200010,0,3,20"
"72,""SEP_BOA_fix"",200010,0,3,20"
"73,""SEP_CSA"",200010,0.0124036935408132,3,20"
"74,""SEP_GOA"",200010,0,3,20"
"75,""SEP_MBO"",200010,0.102916933191622,3,20"
"76,""SEP_MFO"",200010,0,3,20"
"77,""SEP_PSO_fix"",200010,0,3,20"
"78,""UNIOA_BA"",200010,0,3,20"
"79,""UNIOA_BOA"",200010,0,3,20"
"80,""UNIOA_CSA"",200010,0.0354511740643905,3,20"
"81,""UNIOA_GOA"",200010,0,3,20"
"82,""UNIOA_MBO"",200010,0.0935550278041653,3,20"
"83,""UNIOA_MFO"",200010,0.035281140354747,3,20"
"84,""UNIOA_PSO"",200010,0,3,20"
"85,""SEP_BA_fix"",50010,0.0585961834243795,4,5"
"86,""SEP_BOA_fix"",50010,0.10683965031966,4,5"
"87,""SEP_CSA"",50010,0.1636032759679,4,5"
"88,""SEP_GOA"",50010,0.0583344214542025,4,5"
"89,""SEP_MBO"",50010,0.787514966661196,4,5"
"90,""SEP_MFO"",50010,0.105473638730728,4,5"
"91,""SEP_PSO_fix"",50010,0.170235984723034,4,5"
"92,""UNIOA_BA"",50010,0.0584605238927316,4,5"
"93,""UNIOA_BOA"",50010,0.111845918146051,4,5"
"94,""UNIOA_CSA"",50010,0.19392854164928,4,5"
"95,""UNIOA_GOA"",50010,0.0484147722743033,4,5"
"96,""UNIOA_MBO"",50010,0.787055289197239,4,5"
"97,""UNIOA_MFO"",50010,0.149415148908378,4,5"
"98,""UNIOA_PSO"",50010,0.154528703409645,4,5"
"99,""SEP_BA_fix"",200010,0,4,20"
"100,""SEP_BOA_fix"",200010,0,4,20"
"101,""SEP_CSA"",200010,0,4,20"
"102,""SEP_GOA"",200010,0,4,20"
"103,""SEP_MBO"",200010,0.0839289871018432,4,20"
"104,""SEP_MFO"",200010,0,4,20"
"105,""SEP_PSO_fix"",200010,0,4,20"
"106,""UNIOA_BA"",200010,0,4,20"
"107,""UNIOA_BOA"",200010,0,4,20"
"108,""UNIOA_CSA"",200010,0.0181629153836426,4,20"
"109,""UNIOA_GOA"",200010,0,4,20"
"110,""UNIOA_MBO"",200010,0.0806664753635957,4,20"
"111,""UNIOA_MFO"",200010,0,4,20"
"112,""UNIOA_PSO"",200010,0,4,20"
"113,""SEP_BA_fix"",50010,0.11586408990746,5,5"
"114,""SEP_BOA_fix"",50010,0.851245259024759,5,5"
"115,""SEP_CSA"",50010,0.253453957912546,5,5"
"116,""SEP_GOA"",50010,0.994073255937048,5,5"
"117,""SEP_MBO"",50010,0.99525604682985,5,5"
"118,""SEP_MFO"",50010,0.974492784776378,5,5"
"119,""SEP_PSO_fix"",50010,0.997698696267877,5,5"
"120,""UNIOA_BA"",50010,0.21062365785904,5,5"
"121,""UNIOA_BOA"",50010,0.80123733201911,5,5"
"122,""UNIOA_CSA"",50010,0.300148032855437,5,5"
"123,""UNIOA_GOA"",50010,0.994674884630917,5,5"
"124,""UNIOA_MBO"",50010,0.994859906450083,5,5"
"125,""UNIOA_MFO"",50010,0.982710583000113,5,5"
"126,""UNIOA_PSO"",50010,0.997278330375008,5,5"
"127,""SEP_BA_fix"",200010,0,5,20"
"128,""SEP_BOA_fix"",200010,0,5,20"
"129,""SEP_CSA"",200010,0.0100600852310326,5,20"
"130,""SEP_GOA"",200010,0.98290771735923,5,20"
"131,""SEP_MBO"",200010,0.967076561858182,5,20"
"132,""SEP_MFO"",200010,0.0567879841622426,5,20"
"133,""SEP_PSO_fix"",200010,0.0587568527736078,5,20"
"134,""UNIOA_BA"",200010,0,5,20"
"135,""UNIOA_BOA"",200010,0,5,20"
"136,""UNIOA_CSA"",200010,0.0305216756706024,5,20"
"137,""UNIOA_GOA"",200010,0.852222920424202,5,20"
"138,""UNIOA_MBO"",200010,0.991463556233953,5,20"
"139,""UNIOA_MFO"",200010,0.976180709738448,5,20"
"140,""UNIOA_PSO"",200010,0.0979180213834917,5,20"
"141,""SEP_BA_fix"",50010,0.152360478923512,6,5"
"142,""SEP_BOA_fix"",50010,0.933354379927999,6,5"
"143,""SEP_CSA"",50010,0.822772520005803,6,5"
"144,""SEP_GOA"",50010,0.132873163645191,6,5"
"145,""SEP_MBO"",50010,0.740421107608544,6,5"
"146,""SEP_MFO"",50010,0.198267981197123,6,5"
"147,""SEP_PSO_fix"",50010,0.727955469638534,6,5"
"148,""UNIOA_BA"",50010,0.228157984303751,6,5"
"149,""UNIOA_BOA"",50010,0.935994492583388,6,5"
"150,""UNIOA_CSA"",50010,0.735230522522946,6,5"
"151,""UNIOA_GOA"",50010,0.124102756175108,6,5"
"152,""UNIOA_MBO"",50010,0.69578402641598,6,5"
"153,""UNIOA_MFO"",50010,0.334944826908085,6,5"
"154,""UNIOA_PSO"",50010,0.913755023045505,6,5"
"155,""SEP_BA_fix"",200010,0,6,20"
"156,""SEP_BOA_fix"",200010,0,6,20"
"157,""SEP_CSA"",200010,0.353508895369849,6,20"
"158,""SEP_GOA"",200010,0,6,20"
"159,""SEP_MBO"",200010,0.215959574196473,6,20"
"160,""SEP_MFO"",200010,0.0247512134197212,6,20"
"161,""SEP_PSO_fix"",200010,0.0191920305945487,6,20"
"162,""UNIOA_BA"",200010,0,6,20"
"163,""UNIOA_BOA"",200010,0,6,20"
"164,""UNIOA_CSA"",200010,0.276360642281437,6,20"
"165,""UNIOA_GOA"",200010,0,6,20"
"166,""UNIOA_MBO"",200010,0.239887511891351,6,20"
"167,""UNIOA_MFO"",200010,0.114007426729504,6,20"
"168,""UNIOA_PSO"",200010,0,6,20"
"169,""SEP_BA_fix"",50010,0.156391461432515,7,5"
"170,""SEP_BOA_fix"",50010,0.213291434943637,7,5"
"171,""SEP_CSA"",50010,0.827020676317834,7,5"
"172,""SEP_GOA"",50010,0.157679505798999,7,5"
"173,""SEP_MBO"",50010,0.909403418923634,7,5"
"174,""SEP_MFO"",50010,0.209894669805535,7,5"
"175,""SEP_PSO_fix"",50010,0.95977530008519,7,5"
"176,""UNIOA_BA"",50010,0.156533926987566,7,5"
"177,""UNIOA_BOA"",50010,0.123602494810416,7,5"
"178,""UNIOA_CSA"",50010,0.833289248642302,7,5"
"179,""UNIOA_GOA"",50010,0.152257141296947,7,5"
"180,""UNIOA_MBO"",50010,0.396082569713882,7,5"
"181,""UNIOA_MFO"",50010,0.823914900506104,7,5"
"182,""UNIOA_PSO"",50010,0.948728244436957,7,5"
"183,""SEP_BA_fix"",200010,0,7,20"
"184,""SEP_BOA_fix"",200010,0.00600867015472756,7,20"
"185,""SEP_CSA"",200010,0.0956382335295,7,20"
"186,""SEP_GOA"",200010,0.0195526865813572,7,20"
"187,""SEP_MBO"",200010,0.114334398126032,7,20"
"188,""SEP_MFO"",200010,0.0369053912500453,7,20"
"189,""SEP_PSO_fix"",200010,0.0387718175365742,7,20"
"190,""UNIOA_BA"",200010,0,7,20"
"191,""UNIOA_BOA"",200010,0,7,20"
"192,""UNIOA_CSA"",200010,0.102327117607367,7,20"
"193,""UNIOA_GOA"",200010,0.0253992422927873,7,20"
"194,""UNIOA_MBO"",200010,0.0939123313442171,7,20"
"195,""UNIOA_MFO"",200010,0.0933501662724209,7,20"
"196,""UNIOA_PSO"",200010,0.0195360182971244,7,20"
"197,""SEP_BA_fix"",50010,0.266468600782944,8,5"
"198,""SEP_BOA_fix"",50010,0.224503062340987,8,5"
"199,""SEP_CSA"",50010,0.655349960633457,8,5"
"200,""SEP_GOA"",50010,0,8,5"
"201,""SEP_MBO"",50010,0.4200192395903,8,5"
"202,""SEP_MFO"",50010,0.381324909980299,8,5"
"203,""SEP_PSO_fix"",50010,0.679430785478805,8,5"
"204,""UNIOA_BA"",50010,0.286135771934967,8,5"
"205,""UNIOA_BOA"",50010,0.193955674961547,8,5"
"206,""UNIOA_CSA"",50010,0.643021345782443,8,5"
"207,""UNIOA_GOA"",50010,0.010885273925607,8,5"
"208,""UNIOA_MBO"",50010,0.397101881139594,8,5"
"209,""UNIOA_MFO"",50010,0.423326229721561,8,5"
"210,""UNIOA_PSO"",50010,0.931855586135382,8,5"
"211,""SEP_BA_fix"",200010,0,8,20"
"212,""SEP_BOA_fix"",200010,0,8,20"
"213,""SEP_CSA"",200010,0.128367328950374,8,20"
"214,""SEP_GOA"",200010,0,8,20"
"215,""SEP_MBO"",200010,0.203989797024492,8,20"
"216,""SEP_MFO"",200010,0.00958050953661467,8,20"
"217,""SEP_PSO_fix"",200010,0,8,20"
"218,""UNIOA_BA"",200010,0,8,20"
"219,""UNIOA_BOA"",200010,0,8,20"
"220,""UNIOA_CSA"",200010,0.114689284432694,8,20"
"221,""UNIOA_GOA"",200010,0,8,20"
"222,""UNIOA_MBO"",200010,0.145616834678843,8,20"
"223,""UNIOA_MFO"",200010,0.0536748762513393,8,20"
"224,""UNIOA_PSO"",200010,0,8,20"
"225,""SEP_BA_fix"",50010,0.229051790729348,9,5"
"226,""SEP_BOA_fix"",50010,0.361150325615076,9,5"
"227,""SEP_CSA"",50010,0.644333677510022,9,5"
"228,""SEP_GOA"",50010,0.0378365783425948,9,5"
"229,""SEP_MBO"",50010,0.382879621621406,9,5"
"230,""SEP_MFO"",50010,0.256994086803554,9,5"
"231,""SEP_PSO_fix"",50010,0.756039255060941,9,5"
"232,""UNIOA_BA"",50010,0.343935914423515,9,5"
"233,""UNIOA_BOA"",50010,0.330549821483195,9,5"
"234,""UNIOA_CSA"",50010,0.650136309992903,9,5"
"235,""UNIOA_GOA"",50010,0.018651446181352,9,5"
"236,""UNIOA_MBO"",50010,0.243525476510674,9,5"
"237,""UNIOA_MFO"",50010,0.3488849367898,9,5"
"238,""UNIOA_PSO"",50010,0.921276443116174,9,5"
"239,""SEP_BA_fix"",200010,0,9,20"
"240,""SEP_BOA_fix"",200010,0.0921275842214736,9,20"
"241,""SEP_CSA"",200010,0.0916946622143046,9,20"
"242,""SEP_GOA"",200010,0,9,20"
"243,""SEP_MBO"",200010,0.0900764516453537,9,20"
"244,""SEP_MFO"",200010,0.0279461762206007,9,20"
"245,""SEP_PSO_fix"",200010,0,9,20"
"246,""UNIOA_BA"",200010,0,9,20"
"247,""UNIOA_BOA"",200010,0.0650926184938808,9,20"
"248,""UNIOA_CSA"",200010,0.149303178713613,9,20"
"249,""UNIOA_GOA"",200010,0,9,20"
"250,""UNIOA_MBO"",200010,0.113498894383012,9,20"
"251,""UNIOA_MFO"",200010,0.0683740398624603,9,20"
"252,""UNIOA_PSO"",200010,0.0386463519961257,9,20"
"253,""SEP_BA_fix"",50010,0.132276054593003,10,5"
"254,""SEP_BOA_fix"",50010,0.0292756154651423,10,5"
"255,""SEP_CSA"",50010,0.277863505508597,10,5"
"256,""SEP_GOA"",50010,0,10,5"
"257,""SEP_MBO"",50010,0.0701038746499066,10,5"
"258,""SEP_MFO"",50010,0.0624391209526535,10,5"
